Slow White,Boston,MA
Drag'n Thrust,Minneapolis,MN
AMP,Philadelphia,PA
Steamboat,Cincinnati,OH
Metro North,Mianus,CT
Mischief,San Francisco Bay Area,CA
Seattle Mixtape,Seattle,WA
The Chad Larson Experience,Ames,IA
Bang,West Chester,PA
BFG,Seattle,WA
Alloy,Pittsburgh,PA
NOISE,Madison,WI
Wild Card,Boston,MA
Ambiguous Grey,Washington,DC
shame.,Fort Collins,CO
Polar Bears,Berkeley,CA
Love Tractor,Denver,CO
Blackbird,San Francisco,CA
Bucket,Atlanta,GA
7 Figures,Los Angeles,CA
Cosa Nostra,Austin,TX
UPA,Chicago,IL
Public Enemy,Dallas/Fort Worth,TX
Charlotte Storm,Charlotte,NC
Swing State,Orlando,FL
Bozos,Bozeman,MT
Toro,Durham,NC
No Touching,Twin Cities,MN
UNION,Toronto,Ontario
7 Express,New York,NY
Orlando Friends,Orlando,FL
Dorado,San Diego,CA
Birdfruit,Seattle,WA
Bird,Minneapolis,MN
Minnesota Star Power,Minneapolis/ St. Paul,MN
Classy,San Francisco,CA
BW Ultimate,Sunnyvale,CA
G-Unit,Gainesville,FL
Alchemy,San Francisco,CA
Sparkle Ponies,Rockville,MD
Chalice,St. Louis,MO
Clue,Philadelphia,PA
Columbus Cocktails,Columbus,OH
Des Moines Metro,Des Moines,IA
American Barbecue,San Francisco,CA
BoyShe,Boise,ID
Donuts,Bay Area,CA
American Hyperbole,Baltimore,MD
Powermove,New York,NY
Dub Club,West Chester,PA
Liquid Hustle,Indianapolis,IN
Crash,Kitchener-Waterloo-Guelph,Ontario
Long Beach Legacy,Long Beach,CA
Jughandle,Princeton,NJ
Pluff Mud Panic,Charleston,SC
The Administrators,Willamette Valley,OR
Prion,Champaign-Urbana,IL
LoveBomb,Ben Avon,PA
panIC,Iowa City,IA
Ant Madness,Arlington,VA
Kermit Roosevelt Jr.,Seattle,WA
Nassau,Portland,OR
Jared Lorenzen Project,Atlanta,GA
Cahoots,Asheville,NC
Titan NE,Bar Harbor,ME
Platypi,Chico,CA
ROC'em,Portland,OR
Minneapolis Millers,Minneapolis,MN
Tequila Mockingbird,Chicago-apolis,IN
MxD,College Park,MD
PleasureTown,Boston,MA
Distelfink,Lancaster,PA
Family Style,Los Angeles,CA
Rubix,Phoenix,AZ
Dream Killas,Ann Arbor,MI
Pegasus,Seattle,WA
Thoroughbred,Saint Louis,MO
Groove,San Francisco,CA
Last Call,New York,NY
Freetail,San Antonio,TX
MTF,Missoula,MT
Tyrannis,Charlottesville,VA
Seattle Freeze,Seattle,WA
Method,Huntsville,AL
Mesteño,Denver,CO
Mojo Jojo,Minneapolis,MN
Sweet Action,Denver,CO
Mastodon,Madison,WI
Murmur,Athens,GA
Malice in Wonderland,Raleigh,NC
Grand Army.,Brooklyn,NY
Mad Udderburn,Madison,WI
Mixed Nuts,Boston,MA
KOD,FT Miami,FL
Swamp Rabbit,Greenville,SC
Jolly Roger,"Tampa Bay, FL",FL
tHUMP,Houston,TX
The Hucking Dead,Jacksonville,FL
Moontower,Austin,TX
LoveShack,Atlanta,GA
Darkwing,Mansfield,MA
Los Penguinos,DC/Baltimore,DC
Goose Lee,Cincinnati,OH
Shakedown,Chicago,IL
Wingdings,Des Moines,IA
The Bandits,Middletown,NJ
theRUB,Fayetteville,AR
Mimosas,Berkeley,CA
Coalition Ultimate,Minneapolis,MN
Risky Business,Dallas,TX
Sabotage,Philadelphia,PA
Buffalo Lake Effect,Buffalo,NY
Enough Monkeys,Hartford,VT
Trash Pandas,Nashville,TN
Memphis Hustle & Flow,Memphis,TN
Superstition,Phoenix,AZ
Ursa Major,Bay Area,CA
Boxcar,Durham,NC
DR,Berkeley,CA
ELevate,Chicago,IL
Unlimited Swipes,New York,NY
Legion,Lynchburg,VA
Carolina Reign,Winston-Salem,NC
Boomtown Pandas,Madison,WI
Igneous Ultimate,Bend,OR
Instant Karma,Tucson,AZ
Sir Walter Rowdy,Raleigh,NC
Spirit Fowl,Saint Paul,MN
Buckwild,Sacramento,CA
AC Bandits,Oakland,CA
Wildstyle,Austin,TX
Mishigami,East Lansing,MI
Naughty Love,Huntington Beach,CA
Toast,Grand Rapids,MI
The Strangers,Westminster,CO
Free Ride,Columbia,MO
Sunken Circus,Portland,ME
Townies,Ithaca,NY
OutKast,Atlanta,GA
Crucible,Pittsburgh,PA
Hairy Otter,Nashville,TN
Lord Fairfax,Fairfax,VA
Balloon,College Station,TX
Cutthroat,Reno,NV
Flying Circus Disc Club,Portland,OR
BITMAP,Philadelphia,PA
Los  Heros,Bloomington,IN
The Abusement Park,South Bend,IN
Burn Cycle,Tallahassee,FL
Fiesta,San Diego,CA
HAOS,Watertown,MA
Dumpster Fire,North Charleston,SC
Throws of Passion,Washington,DC
Rainier Mountaineers,Seattle,WA
Bluffdragons,La Crosse,WI
Moonshine,Lexington,KY
DTH,Cambridge,MA
Nautilus,Farmington,CT
Stackcats,Chicago,IL
FLI,Long Island,NY
8 Bit Heroes,Frederick,MD
Bulleit Train,Seattle,WA
North Coast,Cleveland,OH
Lakefire,Dallas/Fort Worth Metroplex,TX
Mixed on the Rock,Little Rock,AR
RUT,Burlington,VT
Shipwreck,Woods Hole,MA
Skyhawks,South Bend,IN
Jabba the Huck,Chicago,IL
Drunk in Space,Boston,MA
Varsity,New York,NY
Rainbow,Somerville,MA
Liquid Hustle B,Indianapolis,IN
Slam,Greenville,SC
Mixtape,Boulder,CO
k0d,Ft. Miami,FL
Providence Mob,Providence,RI
I-79,Pittsburgh/Erie,PA
Fifth Element,Louisville,KY
Doppler Effect,Detroit,MI
Pandas,Montclair,NJ
Albany Airbenders,Albany,NY
Pronghorn,Boise,ID
Stormborn,Washington,DC
Mud Turtles,Houston,TX
Thunderpants the Magic Dragon,Dayton,OH
Norfolkin' Around,Norfolk,VA
Mystery Box,Farmington,ME
Springs Mixed Ulty Team (SMUT),Colorado Springs,CO
Dead Reckoning,Portland,ME
Special Tactics,Austin,TX
Force Collins,Fort Collins,CO
First Order,Roanoke,VA
Dreamcatchers Ultimate,Austin,TX
Turnstyle,New York,NY
Goosebumps and Hucks,Columbus,OH
Get A Baby,Plymouth,NH
